








||raccoon - forests, fields
237, forest, regions_unexplored:autumnal_maple_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
498, none, regions_unexplored:barley_fields, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
646, forest, minecraft:birch_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
729, taiga, regions_unexplored:blackwood_taiga, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
795, taiga, regions_unexplored:boreal_taiga, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
930, none, regions_unexplored:clover_plains, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1026, none, regions_unexplored:cold_deciduous_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1201, forest, minecraft:dark_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1254, forest, regions_unexplored:deciduous_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1723, none, regions_unexplored:flower_fields, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1768, forest, minecraft:flower_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
1831, forest, minecraft:forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
2845, none, mysticsbiomes:lavender_meadow, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
2967, forest, regions_unexplored:magnolia_woodland, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
3235, plains, minecraft:meadow, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
3497, forest, minecraft:old_growth_birch_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
3652, forest, regions_unexplored:orchard, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
3840, plains, minecraft:plains, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
4572, forest, regions_unexplored:silver_birch_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
5437, forest, regions_unexplored:temperate_grove, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3
5697, forest, regions_unexplored:willow_forest, CREATURE, tameablebeasts:tameable_racoon, 20, 1, 3

||penguins - frozen/icy biomes and beaches
598, beach, minecraft:beach, CREATURE, tameablebeasts:tameable_penguin, 20, 2, 4
1945, ocean, minecraft:frozen_ocean, CREATURE, tameablebeasts:tameable_penguin, 20, 2, 4
2018, river, minecraft:frozen_river, CREATURE, tameablebeasts:tameable_penguin, 20, 2, 4
2633, none, minecraft:ice_spikes, CREATURE, tameablebeasts:tameable_penguin, 20, 2, 4
